phase,frame_ms,skin_ms,step_ms,graph_ms,path_ms,groups
2 · Phần nhỏ giữ A,16.6680,8.4990,0.6627,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6690,8.8734,0.6132,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6728,8.7457,0.6702,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.7070,8.5888,0.6756,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.7233,8.6908,0.7053,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6648,8.6564,0.5939,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6665,8.5952,0.6969,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6730,8.8206,0.7152,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6831,8.8807,0.6299,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6832,8.7023,0.6070,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6716,8.5132,0.6180,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6918,8.5758,0.6383,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6764,8.5835,0.5869,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6750,8.7325,0.6075,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6815,8.4657,0.6121,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6727,8.8828,0.5975,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6953,8.4959,0.6006,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.7418,8.7011,0.6577,0.0000,0.0000,2
2 · Phần nhỏ giữ A,16.6941,8.5126,0.6297,0.0000,0.0000,2
